configuration,dropped_group,features,tp,fp,fn,tn,recall,precision,f1,roc_auc,pr_auc,alert_rate
raw,-,18,228,4665,25,95082,0.901186,0.046597,0.088613,0.982726,0.274263,0.048930
semantic,-,74,228,6128,25,93619,0.901186,0.035872,0.068997,0.977081,0.448772,0.063560
raw_plus_semantic,-,92,231,4327,22,95420,0.913043,0.050680,0.096030,0.984564,0.492743,0.045580
raw_plus_semantic_minus_raw,raw,74,228,6128,25,93619,0.901186,0.035872,0.068997,0.977081,0.448772,0.063560
raw_plus_semantic_minus_context,context,65,232,4349,21,95398,0.916996,0.050644,0.095987,0.984842,0.505876,0.045810
raw_plus_semantic_minus_behaviour,behaviour,67,228,3864,25,95883,0.901186,0.055718,0.104948,0.985791,0.527063,0.040920
raw_plus_semantic_minus_scenario,scenario,86,230,4071,23,95676,0.909091,0.053476,0.101010,0.985676,0.524306,0.043010
raw_plus_semantic_minus_role,role,88,228,4245,25,95502,0.901186,0.050973,0.096488,0.985265,0.550160,0.044730
raw_plus_semantic_minus_lifecycle,lifecycle,86,234,4742,19,95005,0.924901,0.047026,0.089501,0.984742,0.424776,0.049760
raw_plus_semantic_minus_evidence,evidence,86,230,3987,23,95760,0.909091,0.054541,0.102908,0.985097,0.492982,0.042170
