configuration,dropped_group,features,recall,precision,f1,roc_auc,pr_auc,false_positives,false_negatives,alert_rate
raw,-,15,0.6419783464566929,0.09469023336841723,0.16503779612233924,0.7887674408181868,0.179563139943878,24944,1455,0.23328648355742201
semantic,-,50,0.6296751968503937,0.08161898382929864,0.1445068752294096,0.7540125696926756,0.12038384057155932,28794,1505,0.2654604260507332
raw_plus_semantic,-,65,0.6729822834645669,0.09283144389382934,0.16315695281274234,0.795350399362368,0.18346689475054345,26727,1329,0.24944965624682494
raw_plus_semantic_minus_raw,raw,50,0.6296751968503937,0.08161898382929864,0.1445068752294096,0.7540125696926756,0.12038384057155932,28794,1505,0.2654604260507332
raw_plus_semantic_minus_behaviours,behaviours,55,0.6749507874015748,0.09216450507358376,0.16218293620292082,0.7969912867930238,0.18203786539871605,27019,1321,0.2519897043384021
raw_plus_semantic_minus_evidence,evidence,59,0.672244094488189,0.09250042322668021,0.16262388761570284,0.7949962118330071,0.18430043283808498,26803,1332,0.2500677346157754
raw_plus_semantic_minus_lifecycle,lifecycle,59,0.6751968503937008,0.09404990403071017,0.1651022864019254,0.7933719347978554,0.1868525558172946,26432,1320,0.24702814373285467
raw_plus_semantic_minus_roles,roles,61,0.6764271653543307,0.09494370380603716,0.1665152341147253,0.7987105128922474,0.18491708505249818,26205,1315,0.24514850814508754
raw_plus_semantic_minus_scenarios,scenarios,60,0.671751968503937,0.09169073688453012,0.16135705419942076,0.7930827950315211,0.17751825129779944,27044,1334,0.2520913062620652
raw_plus_semantic_minus_semantic_objects,semantic_objects,46,0.6668307086614174,0.0913626862652552,0.16070687303564016,0.7947739279106808,0.18538136989516618,26952,1354,0.2511430216412097
